k = 512 channel symbols (ratio 0.1667)
/Users/mithileshsaiyechuri/opt/anaconda3/lib/python3.11/site-packages/torch/utils/data/dataloader.py:1118: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
epoch   1 | SNR0dB: 19.12dB | SNR5dB: 19.67dB | SNR10dB: 19.85dB | SNR15dB: 19.91dB | SNR20dB: 19.92dB
epoch   2 | SNR0dB: 19.69dB | SNR5dB: 20.35dB | SNR10dB: 20.59dB | SNR15dB: 20.68dB | SNR20dB: 20.71dB
epoch   3 | SNR0dB: 20.15dB | SNR5dB: 21.05dB | SNR10dB: 21.39dB | SNR15dB: 21.50dB | SNR20dB: 21.53dB
epoch   4 | SNR0dB: 20.55dB | SNR5dB: 21.64dB | SNR10dB: 22.08dB | SNR15dB: 22.26dB | SNR20dB: 22.33dB
epoch   5 | SNR0dB: 20.81dB | SNR5dB: 22.07dB | SNR10dB: 22.59dB | SNR15dB: 22.77dB | SNR20dB: 22.83dB
epoch   6 | SNR0dB: 20.92dB | SNR5dB: 22.32dB | SNR10dB: 22.90dB | SNR15dB: 23.11dB | SNR20dB: 23.16dB
epoch   7 | SNR0dB: 21.13dB | SNR5dB: 22.74dB | SNR10dB: 23.46dB | SNR15dB: 23.74dB | SNR20dB: 23.82dB
epoch   8 | SNR0dB: 21.19dB | SNR5dB: 23.01dB | SNR10dB: 23.85dB | SNR15dB: 24.15dB | SNR20dB: 24.22dB
epoch   9 | SNR0dB: 21.32dB | SNR5dB: 23.20dB | SNR10dB: 24.13dB | SNR15dB: 24.49dB | SNR20dB: 24.61dB
epoch  10 | SNR0dB: 21.36dB | SNR5dB: 23.37dB | SNR10dB: 24.34dB | SNR15dB: 24.72dB | SNR20dB: 24.81dB
epoch  11 | SNR0dB: 21.42dB | SNR5dB: 23.44dB | SNR10dB: 24.47dB | SNR15dB: 24.87dB | SNR20dB: 25.00dB
epoch  12 | SNR0dB: 21.49dB | SNR5dB: 23.63dB | SNR10dB: 24.74dB | SNR15dB: 25.18dB | SNR20dB: 25.31dB
epoch  13 | SNR0dB: 21.49dB | SNR5dB: 23.64dB | SNR10dB: 24.77dB | SNR15dB: 25.21dB | SNR20dB: 25.34dB
epoch  14 | SNR0dB: 21.48dB | SNR5dB: 23.71dB | SNR10dB: 24.89dB | SNR15dB: 25.39dB | SNR20dB: 25.57dB
epoch  15 | SNR0dB: 21.62dB | SNR5dB: 24.00dB | SNR10dB: 25.33dB | SNR15dB: 25.90dB | SNR20dB: 26.08dB
epoch  16 | SNR0dB: 21.61dB | SNR5dB: 24.03dB | SNR10dB: 25.39dB | SNR15dB: 25.98dB | SNR20dB: 26.19dB
epoch  17 | SNR0dB: 21.66dB | SNR5dB: 24.18dB | SNR10dB: 25.64dB | SNR15dB: 26.27dB | SNR20dB: 26.49dB
epoch  18 | SNR0dB: 21.51dB | SNR5dB: 24.04dB | SNR10dB: 25.49dB | SNR15dB: 26.10dB | SNR20dB: 26.27dB
epoch  19 | SNR0dB: 21.67dB | SNR5dB: 24.32dB | SNR10dB: 25.96dB | SNR15dB: 26.69dB | SNR20dB: 26.92dB
epoch  20 | SNR0dB: 21.72dB | SNR5dB: 24.45dB | SNR10dB: 26.20dB | SNR15dB: 26.99dB | SNR20dB: 27.27dB
epoch  21 | SNR0dB: 21.68dB | SNR5dB: 24.47dB | SNR10dB: 26.24dB | SNR15dB: 27.06dB | SNR20dB: 27.34dB
epoch  22 | SNR0dB: 21.71dB | SNR5dB: 24.53dB | SNR10dB: 26.41dB | SNR15dB: 27.28dB | SNR20dB: 27.59dB
epoch  23 | SNR0dB: 21.73dB | SNR5dB: 24.61dB | SNR10dB: 26.56dB | SNR15dB: 27.48dB | SNR20dB: 27.82dB
epoch  24 | SNR0dB: 21.76dB | SNR5dB: 24.68dB | SNR10dB: 26.69dB | SNR15dB: 27.66dB | SNR20dB: 28.00dB
epoch  25 | SNR0dB: 21.73dB | SNR5dB: 24.65dB | SNR10dB: 26.68dB | SNR15dB: 27.66dB | SNR20dB: 28.02dB
epoch  26 | SNR0dB: 21.77dB | SNR5dB: 24.73dB | SNR10dB: 26.85dB | SNR15dB: 27.88dB | SNR20dB: 28.27dB
epoch  27 | SNR0dB: 21.79dB | SNR5dB: 24.81dB | SNR10dB: 26.98dB | SNR15dB: 28.06dB | SNR20dB: 28.47dB
epoch  28 | SNR0dB: 21.79dB | SNR5dB: 24.80dB | SNR10dB: 26.99dB | SNR15dB: 28.08dB | SNR20dB: 28.50dB
epoch  29 | SNR0dB: 21.77dB | SNR5dB: 24.80dB | SNR10dB: 26.98dB | SNR15dB: 28.09dB | SNR20dB: 28.49dB
epoch  30 | SNR0dB: 21.75dB | SNR5dB: 24.75dB | SNR10dB: 26.92dB | SNR15dB: 28.01dB | SNR20dB: 28.38dB
epoch  31 | SNR0dB: 21.81dB | SNR5dB: 24.88dB | SNR10dB: 27.14dB | SNR15dB: 28.30dB | SNR20dB: 28.75dB
epoch  32 | SNR0dB: 21.77dB | SNR5dB: 24.78dB | SNR10dB: 26.99dB | SNR15dB: 28.08dB | SNR20dB: 28.46dB
epoch  33 | SNR0dB: 21.82dB | SNR5dB: 24.88dB | SNR10dB: 27.17dB | SNR15dB: 28.36dB | SNR20dB: 28.80dB
epoch  34 | SNR0dB: 21.83dB | SNR5dB: 24.91dB | SNR10dB: 27.22dB | SNR15dB: 28.43dB | SNR20dB: 28.90dB
epoch  35 | SNR0dB: 21.85dB | SNR5dB: 24.93dB | SNR10dB: 27.28dB | SNR15dB: 28.52dB | SNR20dB: 28.99dB
epoch  36 | SNR0dB: 21.86dB | SNR5dB: 24.97dB | SNR10dB: 27.32dB | SNR15dB: 28.56dB | SNR20dB: 29.05dB
epoch  37 | SNR0dB: 21.82dB | SNR5dB: 24.88dB | SNR10dB: 27.17dB | SNR15dB: 28.36dB | SNR20dB: 28.82dB
epoch  38 | SNR0dB: 21.87dB | SNR5dB: 24.98dB | SNR10dB: 27.35dB | SNR15dB: 28.61dB | SNR20dB: 29.10dB
epoch  39 | SNR0dB: 21.84dB | SNR5dB: 24.94dB | SNR10dB: 27.28dB | SNR15dB: 28.50dB | SNR20dB: 28.94dB
epoch  40 | SNR0dB: 21.86dB | SNR5dB: 24.96dB | SNR10dB: 27.36dB | SNR15dB: 28.62dB | SNR20dB: 29.11dB
epoch  41 | SNR0dB: 21.89dB | SNR5dB: 25.01dB | SNR10dB: 27.41dB | SNR15dB: 28.70dB | SNR20dB: 29.20dB
epoch  42 | SNR0dB: 21.91dB | SNR5dB: 25.03dB | SNR10dB: 27.44dB | SNR15dB: 28.74dB | SNR20dB: 29.24dB
epoch  43 | SNR0dB: 21.89dB | SNR5dB: 25.03dB | SNR10dB: 27.45dB | SNR15dB: 28.76dB | SNR20dB: 29.27dB
epoch  44 | SNR0dB: 21.92dB | SNR5dB: 25.07dB | SNR10dB: 27.52dB | SNR15dB: 28.86dB | SNR20dB: 29.40dB
epoch  45 | SNR0dB: 21.90dB | SNR5dB: 25.03dB | SNR10dB: 27.45dB | SNR15dB: 28.76dB | SNR20dB: 29.27dB
epoch  46 | SNR0dB: 21.92dB | SNR5dB: 25.06dB | SNR10dB: 27.52dB | SNR15dB: 28.83dB | SNR20dB: 29.33dB
epoch  47 | SNR0dB: 21.93dB | SNR5dB: 25.08dB | SNR10dB: 27.54dB | SNR15dB: 28.89dB | SNR20dB: 29.41dB
epoch  48 | SNR0dB: 21.91dB | SNR5dB: 25.05dB | SNR10dB: 27.50dB | SNR15dB: 28.84dB | SNR20dB: 29.37dB
epoch  49 | SNR0dB: 21.93dB | SNR5dB: 25.10dB | SNR10dB: 27.58dB | SNR15dB: 28.96dB | SNR20dB: 29.50dB
epoch  50 | SNR0dB: 21.93dB | SNR5dB: 25.07dB | SNR10dB: 27.56dB | SNR15dB: 28.94dB | SNR20dB: 29.47dB
epoch  51 | SNR0dB: 21.95dB | SNR5dB: 25.13dB | SNR10dB: 27.65dB | SNR15dB: 29.05dB | SNR20dB: 29.59dB
epoch  52 | SNR0dB: 21.95dB | SNR5dB: 25.13dB | SNR10dB: 27.67dB | SNR15dB: 29.09dB | SNR20dB: 29.67dB
epoch  53 | SNR0dB: 21.95dB | SNR5dB: 25.13dB | SNR10dB: 27.66dB | SNR15dB: 29.06dB | SNR20dB: 29.64dB
epoch  54 | SNR0dB: 21.96dB | SNR5dB: 25.15dB | SNR10dB: 27.71dB | SNR15dB: 29.13dB | SNR20dB: 29.70dB
epoch  55 | SNR0dB: 21.97dB | SNR5dB: 25.15dB | SNR10dB: 27.70dB | SNR15dB: 29.12dB | SNR20dB: 29.69dB
epoch  56 | SNR0dB: 21.97dB | SNR5dB: 25.15dB | SNR10dB: 27.70dB | SNR15dB: 29.09dB | SNR20dB: 29.64dB
epoch  57 | SNR0dB: 21.99dB | SNR5dB: 25.19dB | SNR10dB: 27.76dB | SNR15dB: 29.21dB | SNR20dB: 29.80dB
epoch  58 | SNR0dB: 22.00dB | SNR5dB: 25.23dB | SNR10dB: 27.82dB | SNR15dB: 29.29dB | SNR20dB: 29.90dB
epoch  59 | SNR0dB: 22.01dB | SNR5dB: 25.22dB | SNR10dB: 27.84dB | SNR15dB: 29.34dB | SNR20dB: 29.95dB
epoch  60 | SNR0dB: 22.02dB | SNR5dB: 25.23dB | SNR10dB: 27.85dB | SNR15dB: 29.32dB | SNR20dB: 29.92dB
